AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
34.422470000000004,37.26262,42.94466,33.13572,55.577180000000006,44.22661,49.06256,87.02291,49.64071,45.725570000000005,43.54858,49.93847,27.347040000000003,49.28423,38.04013,41.42224,36.42452,30.769059999999996,36.65247,45.72984,60.303419999999996,55.18918000000001,45.77877,46.36654,41.96289,39.54305,33.84735,31.46351,44.989509999999996,45.65963,49.89697,42.727059999999994,52.6643,46.33743,30.483259999999998,43.50091,30.209559999999996,45.99962,47.04776,47.42074,40.225190000000005,33.85884,36.15285,40.29229,26.240940000000002,49.06064,47.71128,48.63278,29.581220000000002,46.4807,22.27666
34.39135,37.22979,42.91032,33.10402,55.54291,44.1924,49.02895,87.00346,49.60729,45.69034,43.51299,49.90744,27.317590000000003,49.24958,38.00529,41.38643,36.39215,30.73798,36.61603,45.69571,60.270590000000006,55.15531,45.74418,46.33256,41.93012,39.50909,33.81507,31.433759999999996,44.95505,45.623259999999995,49.863,42.69321,52.89168000000001,46.30215,30.454009999999997,43.46591,30.179059999999996,47.495740000000005,47.01231,47.387879999999996,40.19239,33.82708,36.120509999999996,40.36892,26.21173,49.02596,47.67514,48.59864,29.5512,46.44447,22.25047
34.30941,37.23004,43.2697,32.63087,55.98039,44.702940000000005,48.869859999999996,87.08091999999999,49.781620000000004,45.73297,43.5507,50.08141,27.280170000000002,49.4383,37.94086,41.43588,36.32849,30.6636,36.79873,45.6581,60.205330000000004,54.991569999999996,45.639340000000004,46.317479999999996,42.004459999999995,39.60156,33.73167,31.40842,45.11611,45.819790000000005,49.851929999999996,42.55442,52.692609999999995,46.208490000000005,30.514609999999998,43.67961,30.416520000000002,47.732820000000004,46.974790000000006,47.8117,40.06824,34.55771,35.99627,40.49868,25.966379999999997,48.93277,47.2598,48.24135,29.95082,46.11603,22.3871
34.31562,35.914120000000004,43.6378,32.63722,55.98366,44.707679999999996,48.8749,87.08805,49.787620000000004,45.97189,43.44757,50.092859999999995,26.5309,50.440459999999995,37.94628,41.439859999999996,36.3331,30.676140000000004,36.80016,45.66117,60.21024,54.997640000000004,45.64192,46.321870000000004,42.01084,39.60765,33.735409999999995,31.41955,45.21881,45.828140000000005,49.85978,42.55819,52.69815,46.43229,30.52187,43.18356,30.421059999999997,47.7379,46.978790000000004,47.821090000000005,40.07394,34.56197,36.000859999999996,40.50687,26.6179,48.93673,47.26345,48.24793,29.955509999999997,46.12022,22.39271
34.20264,31.982940000000003,43.55008,32.47317,56.036919999999995,44.53953,48.5625,87.99651,49.270759999999996,46.00914,43.431290000000004,50.698640000000005,26.485129999999998,50.394290000000005,38.01573,39.62695,36.3045,30.75447,36.78393,44.90846,59.79198,54.66324,44.93085,45.494240000000005,42.05164,38.99152,33.66768,31.35023,45.2917,45.50908,49.466029999999996,42.37851,52.79929,45.78646,30.71538,42.90144,30.61526,47.3245,46.89994,47.7878,40.02514,34.29861,35.92134,40.5249,26.31349,47.73048,46.58715,48.17118,29.995040000000003,46.11571,22.27658
33.55713,32.272909999999996,43.84026,33.16702,55.442930000000004,44.60289,47.070029999999996,,47.11205,46.13223,43.39212,52.7629,26.174329999999998,49.659620000000004,38.3676,39.47525,36.29842,31.426440000000003,36.69222,42.23914,61.088730000000005,52.209540000000004,45.07302,45.018390000000004,42.21503,39.519859999999994,33.20559,31.009240000000002,45.04435,44.87666,48.14145,42.54306,51.33377,45.69954,29.926509999999997,43.321659999999994,29.96009,46.27082,46.36799,47.51587,38.29047,35.54776,35.1105,40.90441,25.94618,45.82874,46.275940000000006,47.28779,30.33353,46.43056,20.29778
33.56667,32.275690000000004,41.88859,33.16665,55.445209999999996,44.47728,47.07026,,47.11618,46.15235,43.38766,52.76023000000001,25.69872,49.66124,37.721759999999996,39.468140000000005,36.303290000000004,31.39665,36.69032,42.241640000000004,61.09041,52.208690000000004,45.989959999999996,45.02069,42.21839,39.518409999999996,33.20977,31.006109999999996,45.42176,44.76859,48.1427,42.08815,51.33315,45.72803,29.92649,43.48109,29.96329,46.27537,46.53615,47.51252,38.29248,35.549440000000004,35.11945,41.65912,25.14896,45.83012,46.27278,47.28745,30.33554,46.429759999999995,20.29806
33.56053,32.27186,41.8843,33.16216,54.73763,44.48052,47.05643,,47.11235,46.16479,43.38252,52.754690000000004,28.113509999999998,49.65803,37.71566,39.4608,36.29846,31.38894,36.68292,42.2398,61.09335,52.20393,45.30672,45.02448,42.21317,39.512570000000004,33.2067,30.993370000000002,45.10524,44.7619,48.1364,42.08578,51.33276,45.472,29.924159999999997,43.64066,29.96051,46.27633,46.504940000000005,47.49713,38.292770000000004,35.545970000000004,35.11415,40.64595,25.14124,45.82482,46.26464,47.28102,30.333059999999996,46.42852,20.295720000000003
33.41867,32.133179999999996,41.73366,33.020309999999995,54.58951999999999,43.44542,46.90251,,46.96025,46.0377,43.22967,52.60102,27.98035,49.505390000000006,37.56667,39.31129,36.14716,31.250840000000004,36.53693,42.08897,60.9473,52.05471,45.15514,44.43775,42.06374,39.35608,33.06738,30.8523,44.36137,44.61298,47.983090000000004,41.93533,51.180659999999996,45.14662,29.78743,43.495909999999995,29.824040000000004,46.12312,46.29772,47.3419,38.14738,35.376129999999996,34.97075,38.441309999999994,25.01827,44.08706,45.42646,46.44124,30.1958,46.36499,20.17907
33.53308,32.2466,41.85393,33.480940000000004,54.7117,43.56677,47.02673,,47.08286,46.15957,43.34892,52.72908,28.087709999999998,49.62722,37.68318,39.429629999999996,36.264540000000004,31.364279999999997,35.86773,42.20965,61.06604,52.17768,45.27647,44.55825,42.182970000000005,39.475809999999996,33.17757,30.966140000000003,44.48134,45.115159999999996,48.10552,42.0563,51.3032,45.26903,29.89834,43.61716,29.933659999999996,46.24517,46.42028,47.4661,38.265,33.832570000000004,35.085879999999996,38.56,25.12231,44.20872,45.54757,46.56216,30.30573,46.48553,20.27286
33.531929999999996,32.265240000000006,41.885329999999996,33.50504,54.736369999999994,43.59045,47.04443,,47.09616,45.63003,42.10429,52.72704,28.1036,49.65363,37.70498,39.4549,36.29037,31.370390000000004,35.8923,42.233340000000005,61.080980000000004,52.20519,45.305620000000005,44.57397,42.1972,39.50476,33.19767,30.982809999999997,44.512640000000005,45.14436,48.12811,42.08409,51.32582,44.85411,29.913490000000003,43.7803,30.76688,46.26959,46.81904,47.49136,38.28683,30.545270000000002,35.09158,38.58671,25.1456,44.23021,45.57558,46.588390000000004,30.325129999999998,46.004940000000005,20.290589999999998
33.52673,32.26017,41.875,33.49992,54.73072,43.58578,47.02426,,47.09053,45.72319,42.09932,52.72282,28.100509999999996,49.6476,37.70115,39.45065,36.28543,31.331129999999998,36.64158,42.224779999999996,61.0763,52.19814,45.31888,44.56561,42.18881,39.38998,33.18687,30.9717,44.50768,45.33781,48.11984,42.0792,51.3191,44.84863,29.90865,43.589729999999996,30.761840000000003,46.2639,47.20176,47.468920000000004,38.28302,30.541459999999997,35.08607,38.58122,25.3734,44.217620000000004,45.42222,46.579809999999995,30.31969,45.39271,20.28621
33.52878,32.26339,41.53184,33.504020000000004,54.73505,43.58947,47.02977,,47.092929999999996,45.75802,41.73084,52.71141,28.10218,49.42869,37.70333,39.45077,36.29045,31.331,36.646190000000004,42.229729999999996,61.08048,52.20061,44.74638,44.56835,42.19065,39.39326,33.190220000000004,30.9723,44.51075,45.3425,48.1249,42.082409999999996,51.32436,45.12958,29.90843,43.59259,30.76356,46.26918,47.20342,47.47294,38.28753,30.53114,35.09004,38.58501,25.47477,44.22231,45.69321,46.57764,30.323040000000002,45.08207,20.28858
33.498940000000005,32.25254,41.531859999999995,33.49848,54.72766,43.581379999999996,47.01505,,47.075140000000005,45.755340000000004,41.726859999999995,52.68063000000001,28.090670000000003,49.423770000000005,37.6991,39.4497,36.285920000000004,31.308020000000003,36.63225,42.22358,61.063990000000004,52.19435,44.74299,44.55123,42.17276,39.39087,33.17877,30.96027,44.34684,44.45167,48.11566,42.078990000000005,50.6482,45.13516,29.89595,43.59268,30.7476,46.26189,47.2059,47.46568,38.27858,30.50333,34.86465,38.58144,25.46829,44.212270000000004,45.6918,46.57085,29.5027,45.08023,20.28244
33.48312,32.24617,41.09727,33.488440000000004,54.723319999999994,42.82524,47.00904,,47.06847,45.51048,41.2959,52.67572,28.08274,49.418079999999996,37.76664,39.263909999999996,36.283390000000004,31.291209999999996,36.62327,42.21626,61.05435,51.9816,44.54316,44.54272,42.15685,39.3911,33.17196,30.94448,44.64202,44.26073,47.90753,41.99133,50.638090000000005,44.77858,29.895059999999997,43.37904,30.74431,46.25326,46.761829999999996,47.456590000000006,38.27046,30.4989,34.85073,38.27088,24.626260000000002,44.20102,44.7525,46.563140000000004,29.4953,44.17057,20.276329999999998
33.42951,32.19715,40.29942,33.43808,54.95486,42.773759999999996,46.95254,,47.013709999999996,45.45769,41.24472,52.61855,28.035559999999997,49.36506,37.716190000000005,39.21219,36.623459999999994,31.24098,35.18221,42.269020000000005,61.000930000000004,51.928490000000004,44.49108,44.48827,42.10279,39.33998,33.12214,30.892570000000003,44.25801,44.20878,47.85154,41.937870000000004,50.58362,44.08785,29.84664,43.2771,30.694740000000003,46.20004,46.71048,47.40031,38.219159999999995,30.44727,34.79779,38.145509999999994,24.58301,44.14686,44.45366,46.509479999999996,29.44677,44.118390000000005,20.23578
33.480959999999996,32.24838,40.769709999999996,33.48914,55.101369999999996,42.82785,47.007220000000004,,47.0686,45.51273,41.29847,52.671859999999995,28.090020000000003,49.42025,37.768409999999996,39.26355,36.67647,30.56322,35.23386,42.32352,61.05452,51.981790000000004,44.546479999999995,44.54275,42.15698,39.39265,33.17338,30.94185,43.9446,44.26377,47.90538,41.99103,50.638659999999994,44.14301,29.89555,43.32895,30.74442,45.91103,46.76254,47.45489,38.27252,30.495409999999996,34.849790000000006,38.19621,25.956970000000002,43.91433,44.50913,46.55494,29.495890000000003,44.17196,20.277839999999998
