AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
38.07325,43.28901,48.66741,36.9426,60.413999999999994,53.40152,57.69066,87.41475,57.91242,48.84332,47.135740000000006,61.74657,37.14325,55.03736,40.82298,47.46607,41.718509999999995,38.36395,37.86088,53.441869999999994,62.01889,65.88766,50.11415,50.535470000000004,38.57917,44.52113,44.052640000000004,43.70195,49.88288,53.383680000000005,55.8968,52.73941,61.27451,48.94668,37.3901,46.3857,35.93108,56.855909999999994,50.4008,64.52360999999999,43.20707,39.99259,39.89711,47.14655,39.826809999999995,63.068819999999995,52.50671,58.351380000000006,35.67093,50.78376,28.71517
38.08631,43.36039,48.62425,37.21387,60.56695,52.779819999999994,56.90387,87.30736999999999,58.585280000000004,48.95581,47.50124,61.92037,36.94492,55.14835,40.69478,47.58658,41.81009,38.359120000000004,38.26343,53.56635,62.123619999999995,65.47669,50.33997,50.15803,38.74429,44.60608,43.64567,43.637,49.71243,53.52312,55.9611,52.827980000000004,61.122640000000004,49.08885,36.816340000000004,46.50103,35.792159999999996,56.60425,50.46532,63.43416,43.2982,40.11821,39.83927,47.170320000000004,39.6123,62.47404,52.699459999999995,58.42224,35.69361,50.48455,28.039209999999997
38.09394,43.32895,48.734320000000004,37.41415,60.58076,52.72285,56.87786,86.79146999999999,58.58461,49.162929999999996,47.42257,62.08113,36.91757,55.12275,40.69173,47.47175,41.86092,38.360859999999995,38.30011,53.57909,62.2788,65.44426999999999,50.65936,50.09977,38.78102,44.622209999999995,43.76665,43.1858,49.71723,53.52046,55.95469,52.84104,61.0954,49.18703,37.00486,46.503370000000004,35.93871,56.54714,50.46782,63.349030000000006,43.26793,40.5402,39.598459999999996,47.11637,38.92994,62.4651,52.71686,58.4312,35.08605,50.49953,28.518520000000002
38.098859999999995,43.439029999999995,48.852740000000004,37.4086,61.1991,52.256209999999996,56.84438000000001,86.78076,58.57901,48.99514,47.38666,62.02563000000001,37.21128,55.14086999999999,40.57934,47.43372,42.10634,38.27794,38.32591,53.58665,62.29555,65.4066,50.69847,50.1284,39.01191,44.623470000000005,43.737159999999996,43.19406,49.78595,53.586909999999996,55.94491,52.85085,61.08493000000001,49.25036,36.735820000000004,46.35662,35.809090000000005,56.52925,50.30728,63.260690000000004,42.915929999999996,40.44647,39.58808,46.869859999999996,38.895920000000004,62.44761,52.91785,58.534169999999996,35.11183,50.268440000000005,28.97571
38.07035,43.02863,48.80433,37.38771,61.19347,52.21725,56.7809,86.75514,58.555980000000005,48.7886,47.21021,61.96856999999999,37.13859,55.14855,40.66515,47.145920000000004,42.755390000000006,38.336259999999996,38.45148,53.590180000000004,62.143190000000004,65.16043,50.70545,49.42358,39.210370000000005,44.62741,43.70868,43.59451,48.96656,53.569959999999995,55.928290000000004,52.847469999999994,61.0419,49.24661,36.87703,46.781940000000006,35.74799,56.4985,50.41357,62.645309999999995,42.92114,40.365159999999996,39.553059999999995,46.793479999999995,38.84321,62.71405,52.90941,58.522130000000004,35.1068,50.88589,28.912879999999998
38.08728,42.93412,49.04793,37.379220000000004,61.3742,52.34259,56.713269999999994,86.73755,58.75586,48.85613,47.56661,61.95391,37.08715,55.363530000000004,40.6642,47.82697,42.61234,37.992459999999994,38.45283,53.58793000000001,62.167919999999995,65.31215,50.49615,50.15654,39.21672,44.7649,43.696059999999996,43.579570000000004,49.042320000000004,53.557030000000005,55.57614,52.85505,61.03513,48.98032,36.833040000000004,46.68308,35.50175,56.47185,50.48584,62.986630000000005,42.93744,40.26783,39.53889,46.77259,38.778259999999996,62.675909999999995,52.89655,58.46651,35.32911,50.84814,29.33796
38.134,43.07658,48.97505,39.511140000000005,61.384730000000005,53.27097,56.90684,86.71786,58.94311999999999,48.84776,47.71985,61.957469999999994,36.71849,55.372119999999995,40.74794,47.60735,42.59805,38.002159999999996,38.44488,53.5802,62.18505,65.28814,50.521879999999996,50.13739,39.21685,44.631190000000004,43.621990000000004,43.546820000000004,48.95475,53.61448000000001,55.56245,52.858380000000004,61.04339,48.95442,36.55984,46.61488,35.64653,56.44172,50.545629999999996,62.91145,42.992490000000004,39.69587,39.553709999999995,46.82427,38.74442,62.630680000000005,52.82036,58.07549,35.54224,50.75274,29.276870000000002
38.12605,43.250890000000005,48.71687,39.502309999999994,61.398340000000005,52.846759999999996,56.88165,86.7134,58.730230000000006,48.85631,47.65253,62.15596,36.37931,55.58045,40.73825,47.52417,42.47355,37.92134,38.45708,53.58266,62.19276,65.23333000000001,50.481609999999996,50.13106,39.22615,44.63897,43.60371,43.54059,48.96136,53.53488,55.55673,52.75467,61.042019999999994,48.90947,36.306329999999996,46.66724,35.604890000000005,56.424040000000005,50.54824,62.82216999999999,43.01058,39.18908,39.33787,46.82671,38.55162,62.59893,52.81768,58.101569999999995,35.74904,50.68571,29.22702
38.13731,43.35131,48.668,39.47248,61.24966,52.889230000000005,57.01335,86.70064,58.912380000000006,48.80623,47.64646,62.11649,36.357459999999996,55.584790000000005,40.7225,47.45612,42.47221,37.93124,38.455090000000006,53.68275,62.31725,65.03357,50.42749,50.05753,39.23333,44.53846,43.57489,43.08232,48.94008,53.40886999999999,55.54464,52.88316999999999,61.035759999999996,48.79593,36.47936,46.7047,35.36954,56.195719999999994,50.52727,62.66666,42.96172,39.58331,39.33379,46.73175,38.519290000000005,62.54878000000001,52.80941,58.12525,35.55404,50.64762,29.62835
38.14056,44.68938,48.61152,39.444109999999995,61.4317,52.892309999999995,56.792759999999994,86.69019,58.90015,48.883109999999995,47.563829999999996,60.85564,36.34657,55.506780000000006,40.714079999999996,47.39468,42.36075,37.9502,38.45855,53.67455,62.19987,65.02241,50.292790000000004,50.08361,39.25782,44.54911,43.56078,43.10025,49.02248,53.48112,55.1161,52.78779,60.949909999999996,48.746390000000005,36.21865,46.72755,35.325509999999994,56.13881,50.43898,62.052209999999995,42.965270000000004,39.505990000000004,39.5747,46.61424,38.496559999999995,62.21621999999999,52.805730000000004,58.122009999999996,35.577090000000005,50.5764,30.414690000000004
